"content_id","game_id","content","type","rumored","homophobia","transphobia","queer_men","queer_women","char_sexuality","char_gender","char_role","human","char_race","actions","optional_relationships","bisexual_workers"
"1076","7533","big gay al","characters","unknown","unknown","unknown","yes","no","gay explicit","nan","pc","yes","white","nan","nan","nan"
"1077","7534","gay marriage policy decision","actions","unknown","yes","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1078","7534","gay marriage policy decision","mentions","unknown","yes","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1079","7535","male sex workers","relationship/romance/sex","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","yes"
"1080","7536","player character's affinity/affection"," relationship/romance/sex","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1081","7534","scarlett","characters","unknown","yes","unknown","no","yes","lesbian explicit","nan","npc","nan","nan","nan","nan","nan"
"1082","7536","sex workers (\"sex\" \"workers\")","characters","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1083","7536","the star cross lovers","characters","unknown","yes","unknown","yes","no","gay explicit","nan","npc","nan","nan","nan","nan","nan"
"1084","7534","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1085","7537","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1086","7537","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1087","7536","nan","nan","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1088","7538","abu'l nuquod","characters","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1089","7539","asari","characters","unknown","unknown","unknown","no","yes","nan","non-binary explicit","npc","nan","nan","nan","nan","nan"
"1090","7540","asari","characters","unknown","unknown","unknown","no","yes","nan","non-binary explicit","npc","nan","nan","nan","nan","nan"
"1091","7541","asari","characters","unknown","unknown","unknown","no","yes","nan","non-binary explicit","npc","nan","nan","nan","nan","nan"
"1092","7542","branka","characters","unknown","unknown","unknown","no","yes","bisexual explicit","nan","npc","nan","nan","nan","nan","nan"
"1093","7543","briala","characters","unknown","unknown","unknown","no","yes","lesbian explicit","nan","npc","nan","nan","nan","nan","nan"
"1094","7543","cremisius (krem) aclassi","characters","unknown","unknown","unknown","no","no","nan","transgender man explicit","npc","nan","nan","nan","nan","nan"
"1095","7544","dawn star","characters","unknown","unknown","unknown","no","yes","bisexual implicit","nan","npc","yes","asian","nan","nan","nan"
"1096","7545","dorn","characters","unknown","unknown","unknown","yes","no","bisexual explicit","nan","npc","nan","nan","nan","nan","nan"
"1097","7543","empress celene","characters","unknown","unknown","unknown","no","yes","lesbian explicit","nan","npc","nan","nan","nan","nan","nan"
"1098","7543","empress celene and briala","relationship/romance/sex","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1099","7546","gay trait","artifacts","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1100","7546","gay trait","traits","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1101","7542","herren","characters","unknown","unknown","unknown","yes","no","gay implicit","nan","npc","nan","nan","nan","nan","nan"
"1102","7542","hespith","characters","unknown","unknown","unknown","no","yes","lesbian explicit","nan","npc","nan","nan","nan","nan","nan"
"1103","7547","hexxat","characters","unknown","unknown","unknown","no","yes","lesbian explicit","nan","npc","nan","nan","nan","nan","nan"
"1104","7548","juhani","characters","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","yes","nan"
