year,gay,lesbian,bisexual,asexual,null
1985,0,0,0,0,3
1986,0,2,0,0,3
1987,0,0,0,0,5
1988,1,1,0,0,5
1989,1,2,1,0,4
1990,1,0,0,0,4
1991,2,0,0,0,2
1992,1,2,1,0,7
1993,2,0,1,0,9
1994,4,0,0,0,6
1995,8,1,0,0,5
1996,6,0,3,0,7
1997,7,5,0,0,11
1998,2,0,0,0,8
1999,6,5,1,0,14
2000,3,4,3,0,15
2001,9,1,7,0,15
2002,5,0,9,0,14
2003,10,6,4,0,22
2004,16,4,11,0,33
2005,15,4,5,1,23
2006,2,2,0,0,26
2007,3,6,1,0,14
2008,16,5,12,0,33
2009,6,4,5,0,19
2010,14,10,11,0,24
2011,0,1,1,0,23
2012,4,7,3,0,31
2013,9,7,2,0,42
2014,4,4,1,1,62
2015,3,4,1,0,0
2016,1,3,0,1,0
